线程数,循环数,效率(笔/秒),吞吐量(Mbps),成功率,请求报文
64,1000,10179.74,0.08,100.00,4C373130303231303033321111111111111111111111111111111111111111111111111111111111111111
64,1000,9157.25,0.07,100.00,4C34313030323130303332111111111111111111111111111111111111111111111111111111111111111130303634B71E1E71ECC5C7DF6301F4351C93D87BCD722A32860279B5A37B08B622F8024CAE494E16EB1C0E0A9650B28B05319D74F31A06C82368E332D3F9DAF78E69EFD8
64,1000,4884.00,0.04,100.00,4C343130303232303033321111111111111111111111111111111111111111111111111111111111111111303039365DF700C74608D046BC33DC9B9A1AADBF2799868B52059C6439D8A2FC699B4179D3DA3922915FED25A09D9D68A68E5DE3F2307D44ABDF63644FF1D1DB2F320755FF969678CD09B808BE0F31DB402DD2613A05F31E191389966C6B4766523F491E
64,1000,124271.84,0.95,0.00,4C37313030323230303332111111111111111111111111111111111111111111111111111111111111111
64,1000,97709.92,0.75,0.00,4C343130303232303033321111111111111111111111111111111111111111111111111111111111111111303039365DF700C74608D046BC33DC9B9A1AADBF2799868B52059C6439D8A2FC699B4179D3DA3922915FED25A09D9D68A68E5DE3F2307D44ABDF63644FF1D1DB2F320755FF969678CD09B808BE0F31DB402DD2613A05F31E191389966C6B4766523F491
64,1000,110918.54,0.85,0.00,4C343130303232303033321111111111111111111111111111111111111111111111111111111111111111303039365DF700C74608D046BC33DC9B9A1AADBF2799868B52059C6439D8A2FC699B4179D3DA3922915FED25A09D9D68A68E5DE3F2307D44ABDF63644FF1D1DB2F320755FF969678CD09B808BE0F31DB402DD2613A05F31E191389966C6B4766523F491
64,1000,71991.00,0.55,0.00,4C343130303232303033321111111111111111111111111111111111111111111111111111111111111111303039365DF700C74608D046BC33DC9B9A1AADBF2799868B52059C6439D8A2FC699B4179D3DA3922915FED25A09D9D68A68E5DE3F2307D44ABDF63644FF1D1DB2F320755FF969678CD09B808BE0F31DB402DD2613A05F31E191389966C6B4766523F491
64,1000,4775.76,0.04,100.00,4C343130303232303033321111111111111111111111111111111111111111111111111111111111111111303039365DF700C74608D046BC33DC9B9A1AADBF2799868B52059C6439D8A2FC699B4179D3DA3922915FED25A09D9D68A68E5DE3F2307D44ABDF63644FF1D1DB2F320755FF969678CD09B808BE0F31DB402DD2613A05F31E191389966C6B4766523F491E
64,1000,107925.80,0.82,0.00,4C37313030323330303332111111111111111111111111111111111111111111111111111111111111111
64,1000,2772.00,0.02,100.00,4C373130303233303033321111111111111111111111111111111111111111111111111111111111111111
64,1000,2356.41,0.02,100.00,4C3431303032333030333211111111111111111111111111111111111111111111111111111111111111113031333200C95A89AB0B69FF366D08DC30DA2380F99D3B68ADDB3EB0235999286A629D2CFC03D3464F75D7BEA5D53961BCF2A334F2AFF8277F25275DCA82C8965D3ED51EFC9B01268A96B15B88CC8EE94E75263C7D03FF9BBE5D436E83699F5FAB66838BD57AC94121C680A5BD8360FE4EA8AD4FC162FCE55D1A5D2915138330BBB71C8992CD085F
64,1000,6141.45,0.05,100.00,4C36303032313332FD6F5CC42A07E8E60BDFC22FB4C59D522D3092C5C15852415AA5134D0B1890E83332B3AFE2EC7AA70AE6773DB429CDD618CC83387AC0C34A1225B93FEA35F0E10666
64,1000,2998.92,0.02,100.00,4C36303032323438AD72B6DEA249D13E34CA3FB5A10487743D1F6B2DDD178CFE702B86D1F16ABD2D9394F35C8CB76FAB80F2F8C88D6BF3423438160523211390BC67DFFD6E127F54DD7AD0AA25F3CD9BB2E8E22416B166D899559E44DDFA5ADEFCD867B106586EC49850
64,1000,87312.41,0.67,0.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
64,2,6.03,0.00,75.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
2,2,129.03,0.00,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
64,1,1.77,0.00,57.81,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
1,64,342.25,0.00,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
1,1,31.25,0.00,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
2,1,125.00,0.00,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
2,2,1.#J,1.#J,100.00,3132333435363738543139393939303234307C32266C98B3C0EE4BC20E6ABDF5196F97CE209741B75A606B543EFF4879A8F3E4C23084330BE7E0EB2BAB14EA92547A4EA1AE7744DCDDB7C6BEA121D59852BD7C4C2E594AD476A91C94AEFC30390D23BB59AA2758632FC1D012FCDF8E1DADBFA0ECFAA37F7A685A70AD7AF59D4ECBC8D4D7CC02585FC514CB4F9F703DAB29253F8E2FF8D80760C0DEFF7518C85FE50D8F33C0B4DFBE8F35028FCA2D886B40F0BE3A89B43E2D269CF53FDFB54D63A3C47E7FE080A10BD899D9C8692570C6E22DC708CF3EB3FF66488477C158E7E0C4C281DE843F8FA97AAE6C6CE1CC1D84B79652813F626F358A5505516A84BB75E015303030366C696E31323330
64,2,0.60,0.00,45.31,12345678NC
10,10000,23228.80,1.77,100.00,12345678NC
100,1000,101729.40,7.76,100.00,12345678NC
64,10,10.65,0.00,84.38,12345678NC
